SNo,Date,Country,RegionCode,RegionName,Latitude,Longitude,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,TestsPerformed
81,2020-02-27 18:00:00,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,8
82,2020-02-27 18:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,9
83,2020-02-27 18:00:00,ITA,5,Veneto,45.43490485,12.33845213,19,8,27,82,109,40,0,2,111,6164
84,2020-02-28 18:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,1,0,1,0,1,0,0,0,1,33
85,2020-02-28 18:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0
86,2020-02-28 18:00:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,2
87,2020-02-28 18:00:00,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,1,0,0,1,21
88,2020-02-28 18:00:00,ITA,15,Campania,40.83956555,14.25084984,2,0,2,2,4,1,0,0,4,213
89,2020-02-28 18:00:00,ITA,8,Emilia Romagna,44.49436681,11.341720800000001,56,6,62,81,143,47,0,2,145,1277
90,2020-02-28 18:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,0,0,0,0,0,0,169
91,2020-02-28 18:00:00,ITA,12,Lazio,41.89277044,12.48366722,0,0,0,0,0,0,3,0,3,611
92,2020-02-28 18:00:00,ITA,7,Liguria,44.41149315,8.9326992,9,0,9,10,19,0,0,0,19,112
93,2020-02-28 18:00:00,ITA,3,Lombardia,45.46679409,9.190347404,235,47,282,192,474,125,40,17,531,4835
94,2020-02-28 18:00:00,ITA,11,Marche,43.61675973,13.5188753,3,2,5,1,6,3,0,0,6,47
95,2020-02-28 18:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0
96,2020-02-28 18:00:00,ITA,1,Piemonte,45.0732745,7.680687483,7,0,7,4,11,9,0,0,11,227
97,2020-02-28 18:00:00,ITA,16,Puglia,41.12559576,16.86736689,1,0,1,2,3,2,0,0,3,242
98,2020-02-28 18:00:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,1
99,2020-02-28 18:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,1,0,1,1,2,0,2,0,4,5
100,2020-02-28 18:00:00,ITA,9,Toscana,43.76923077,11.25588885,5,0,5,2,7,5,1,0,8,437
101,2020-02-28 18:00:00,ITA,4,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,32
102,2020-02-28 18:00:00,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,8
103,2020-02-28 18:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,9
104,2020-02-28 18:00:00,ITA,5,Veneto,45.43490485,12.33845213,24,9,33,116,149,40,0,2,151,7414
105,2020-02-29 17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,2,0,2,0,2,1,0,0,2,43
106,2020-02-29 17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,32
107,2020-02-29 17:00:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,16
108,2020-02-29 17:00:00,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,0,0,0,1,27
109,2020-02-29 17:00:00,ITA,15,Campania,40.83956555,14.25084984,3,0,3,10,13,9,0,0,13,373
110,2020-02-29 17:00:00,ITA,8,Emilia Romagna,44.49436681,11.341720800000001,86,11,97,116,213,70,0,4,217,1550
111,2020-02-29 17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,0,0,0,0,0,0,189
112,2020-02-29 17:00:00,ITA,12,Lazio,41.89277044,12.48366722,3,0,3,0,3,3,3,0,6,679
113,2020-02-29 17:00:00,ITA,7,Liguria,44.41149315,8.9326992,4,1,5,33,38,19,4,0,42,121
114,2020-02-29 17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,256,80,336,216,552,78,40,23,615,5723
115,2020-02-29 17:00:00,ITA,11,Marche,43.61675973,13.5188753,6,2,8,3,11,5,0,0,11,68
116,2020-02-29 17:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0
117,2020-02-29 17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,7,0,7,4,11,0,0,0,11,308
118,2020-02-29 17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1,0,1,2,3,0,0,0,3,252
119,2020-02-29 17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,1
120,2020-02-29 17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,1,0,1,1,2,0,2,0,4,6
121,2020-02-29 17:00:00,ITA,9,Toscana,43.76923077,11.25588885,7,0,7,3,10,3,1,0,11,531
122,2020-02-29 17:00:00,ITA,4,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,43
123,2020-02-29 17:00:00,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,31
124,2020-02-29 17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,9
125,2020-02-29 17:00:00,ITA,5,Veneto,45.43490485,12.33845213,24,11,35,154,189,40,0,2,191,8659
126,2020-03-01 17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,3,0,3,2,5,3,0,0,5,52
127,2020-03-01 17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,39
128,2020-03-01 17:00:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,20
129,2020-03-01 17:00:00,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,0,0,0,1,35
130,2020-03-01 17:00:00,ITA,15,Campania,40.83956555,14.25084984,4,0,4,13,17,4,0,0,17,373
131,2020-03-01 17:00:00,ITA,8,Emilia Romagna,44.49436681,11.341720800000001,127,13,140,137,277,64,0,8,285,1795
